x,y,b_mag,b_mag_err,v_mag,v_mag_err,r_mag,r_mag_err,i_mag,i_mag_err
132,437,14.24,0.19,13.14,0.09,12.47,0.09,11.6,0.09
389,440,16.7,0.32,16.11,0.21,15.54,0.2,,
533,441,16.66,0.31,15.46,0.14,14.69,0.12,13.92,0.12
537,451,15.9,0.22,15.25,0.12,14.82,0.13,14.25,0.14
167,452,18.55,1.42,18.97,2.68,18.77,3.53,18.0,3.22
269,453,15.31,0.2,15.05,0.11,14.92,0.14,14.63,0.17
284,454,16.0,0.23,15.17,0.12,14.59,0.12,13.88,0.12
563,459,17.78,0.72,16.96,0.43,16.26,0.36,15.53,0.34
511,461,18.76,1.72,,,16.97,0.68,16.29,0.67
460,462,18.25,1.09,17.67,0.82,17.11,0.77,16.62,0.91
469,462,18.72,1.66,17.97,1.07,17.06,0.73,16.36,0.72
281,464,16.92,0.37,16.29,0.24,15.69,0.23,14.99,0.22
333,467,15.69,0.21,,,14.81,0.13,14.3,0.14
300,469,15.39,0.2,14.83,0.1,14.44,0.11,13.88,0.12
353,477,15.09,0.2,14.84,0.11,14.7,0.13,14.37,0.15
396,477,16.65,0.31,,,,,,
650,478,16.97,0.38,16.02,0.2,15.43,0.19,14.46,0.15
620,485,13.82,0.19,12.53,0.09,11.7,0.09,10.75,0.09
449,491,17.61,0.62,16.88,0.4,16.26,0.36,15.58,0.36
